transaction_id,transaction_date,year,quarter,month,month_num,day_of_week,customer_id,customer_segment,region,city,product_category,product_name,quantity,unit_price,gross_revenue,discount_rate,discount_amount,net_revenue,cost,profit,sales_channel,sales_rep,order_status,profit_margin,revenue_per_unit,is_high_value,days_since_start
TXN000015,2023-11-26,2023,Q4,November,11,Sunday,CUST9786,Government,South,Brighton,Electronics,Wireless Mouse,3,748.45,2918.96,0.07,204.33,2714.63,1798.02,916.61,Direct Sales,Rep_03,Completed,33.77,904.88,False,694
TXN000016,2022-07-20,2022,Q3,July,7,Wednesday,CUST4872,Smb,North,Manchester,Electronics,Webcam HD,8,831.33,6650.64,0.04,266.03,6384.61,4282.37,2102.24,Retail,Rep_06,Completed,32.93,798.08,True,200
TXN000017,2024-03-10,2024,Q1,March,3,Sunday,CUST8973,Smb,East,Colchester,Stationery,Paper Ream,3,36.7,110.1,0.03,3.3,106.8,60.09,46.71,Direct Sales,Rep_11,Completed,43.74,35.6,False,799
TXN000018,2024-09-03,2024,Q3,September,9,Tuesday,CUST2122,Enterprise,North,Leeds,Furniture,Office Chair,41,412.45,16910.45,0.04,676.42,16234.03,9389.04,6844.99,Direct Sales,Rep_20,Completed,42.16,395.95,True,976
TXN000019,2024-12-06,2024,Q4,December,12,Friday,CUST4910,Individual,South,Southampton,Stationery,Sticky Notes,3,21.78,84.94,0.02,1.7,83.24,56.5,26.74,Retail,Rep_03,Completed,32.12,27.75,False,1070
TXN000020,2022-07-24,2022,Q3,July,7,Sunday,CUST3170,Individual,South,Southampton,Electronics,Webcam HD,3,1343.05,4029.15,0.01,40.29,3988.86,2119.9,1868.96,Online,Rep_18,Completed,46.85,1329.62,False,204
TXN000021,2024-12-19,2024,Q4,December,12,Thursday,CUST3200,Individual,East,Norwich,Electronics,Webcam HD,5,1356.63,8818.1,0.01,88.18,8729.92,4229.88,4500.04,Online,Rep_07,Completed,51.55,1745.98,True,1083
TXN000022,2023-02-21,2023,Q1,February,2,Tuesday,CUST1832,Enterprise,West,Plymouth,Stationery,Stapler,7,84.64,592.48,0.0,0.0,592.48,374.05,218.43,Retail,Rep_09,Completed,36.87,84.64,False,416
TXN000023,2024-06-23,2024,Q2,June,6,Sunday,CUST2232,Smb,North,Manchester,Software,Project Manager,20,425.57,8511.4,0.03,255.34,8256.06,4366.93,3889.13,Online,Rep_02,Completed,47.11,412.8,True,904
TXN000024,2022-03-23,2022,Q1,March,3,Wednesday,CUST6794,Government,South,London,Stationery,Pen Collection,2,93.32,186.64,0.13,24.26,162.38,112.51,49.87,Direct Sales,Unassigned,Pending,30.71,81.19,False,81
TXN000025,2022-02-20,2022,Q1,February,2,Sunday,CUST5371,Smb,West,Cardiff,Furniture,Bookshelf,3,398.65,1195.95,0.04,47.84,1148.11,535.86,612.25,Online,Rep_15,Completed,53.33,382.7,False,50
TXN000026,2023-04-12,2023,Q2,April,4,Wednesday,CUST6378,Individual,South,Bristol,Furniture,Office Chair,3,778.48,2335.44,0.02,46.71,2288.73,1265.26,1023.47,Online,Rep_18,Completed,44.72,762.91,False,466
TXN000027,2022-02-26,2022,Q1,February,2,Saturday,CUST1626,Enterprise,South,Southampton,Electronics,USB-C Hub,25,649.39,16234.75,0.07,1136.43,15098.32,10497.42,4600.9,Retail,Rep_04,Completed,30.47,603.93,True,56
TXN000028,2023-01-25,2023,Q1,January,1,Wednesday,CUST9518,Smb,West,Birmingham,Stationery,Notebook Set,12,48.82,585.84,0.03,17.58,568.26,340.4,227.86,Partner,Rep_04,Completed,40.1,47.36,False,389
TXN000029,2023-09-08,2023,Q3,September,9,Friday,CUST5844,Smb,East,Colchester,Stationery,Paper Ream,14,47.84,669.76,0.03,20.09,649.67,435.83,213.84,Direct Sales,Rep_20,Completed,32.92,46.4,False,615
TXN000030,2024-04-11,2024,Q2,April,4,Thursday,CUST8043,Individual,East,Cambridge,Electronics,USB-C Hub,2,774.32,1548.64,0.03,46.46,1502.18,958.57,543.61,Retail,Unassigned,Completed,36.19,751.09,False,831
TXN000031,2023-08-05,2023,Q3,August,8,Saturday,CUST4680,Smb,South,Southampton,Stationery,Notebook Set,9,12.2,109.8,0.05,5.49,104.31,60.85,43.46,Direct Sales,Rep_03,Completed,41.66,11.59,False,581
TXN000032,2023-02-03,2023,Q1,February,2,Friday,CUST3417,Enterprise,West,Cardiff,Software,Cloud Storage,19,400.29,7605.51,0.03,228.17,7377.34,5071.11,2306.23,Online,Rep_17,Completed,31.26,388.28,True,398
TXN000033,2023-05-26,2023,Q2,May,5,Friday,CUST9702,Individual,South,Bristol,Electronics,Bluetooth Headphones,5,996.45,4982.25,0.02,99.64,4882.61,3281.39,1601.22,Retail,Rep_15,Pending,32.79,976.52,False,510
TXN000034,2024-08-30,2024,Q3,August,8,Friday,CUST9540,Government,South,Southampton,Software,Security Pack,1,173.57,173.57,0.11,19.09,154.48,72.66,81.82,Direct Sales,Rep_11,Completed,52.96,154.48,False,972
TXN000035,2022-06-15,2022,Q2,June,6,Wednesday,CUST3503,Smb,South,Bristol,Furniture,Standing Desk,12,419.66,5035.92,0.03,151.08,4884.84,2563.23,2321.61,Online,Rep_07,Completed,47.53,407.07,False,165
TXN000036,2024-03-08,2024,Q1,March,3,Friday,CUST1096,Individual,West,Exeter,Electronics,Webcam HD,4,1179.52,4718.08,0.03,141.54,4576.54,2839.24,1737.3,Partner,Rep_20,Pending,37.96,1144.14,False,797
TXN000037,2024-09-26,2024,Q3,September,9,Thursday,CUST1475,Government,West,Exeter,Furniture,Bookshelf,4,584.77,2339.08,0.11,257.3,2081.78,1357.64,724.14,Partner,Rep_05,Cancelled,34.78,520.45,False,999
TXN000038,2024-12-29,2024,Q4,December,12,Sunday,CUST8022,Smb,North,Manchester,Electronics,Bluetooth Headphones,10,436.25,5671.25,0.02,113.42,5557.83,2576.04,2981.79,Retail,Rep_11,Completed,53.65,555.78,True,1093
TXN000039,2024-02-16,2024,Q1,February,2,Friday,CUST8705,Enterprise,East,Norwich,Stationery,Paper Ream,27,99.99,2699.73,0.03,80.99,2618.74,1101.4,1517.34,Online,Rep_02,Completed,57.94,96.99,False,776
TXN000040,2023-05-22,2023,Q2,May,5,Monday,CUST3068,Government,South,Brighton,Furniture,Office Chair,2,516.58,1033.16,0.07,72.32,960.84,458.2,502.64,Online,Rep_12,Completed,52.31,480.42,False,506
TXN000041,2022-08-23,2022,Q3,August,8,Tuesday,CUST6111,Government,North,Manchester,Furniture,Bookshelf,2,761.96,1523.92,0.01,15.24,1508.68,916.05,592.63,Retail,Rep_08,Completed,39.28,754.34,False,234
TXN000042,2023-09-10,2023,Q3,September,9,Sunday,CUST9728,Government,North,Liverpool,Electronics,Webcam HD,3,289.64,868.92,0.0,0.0,868.92,457.07,411.85,Partner,Rep_16,Completed,47.4,289.64,False,617
TXN000043,2024-01-12,2024,Q1,January,1,Friday,CUST9548,Individual,West,Cardiff,Software,Design Pro,5,259.19,1295.95,0.01,12.96,1282.99,841.02,441.97,Retail,Rep_03,Completed,34.45,256.6,False,741
TXN000044,2024-07-12,2024,Q3,July,7,Friday,CUST1470,Government,West,Plymouth,Furniture,Filing Cabinet,2,268.2,536.4,0.05,26.82,509.58,243.33,266.25,Partner,Rep_09,Pending,52.25,254.79,False,923
TXN000045,2023-07-20,2023,Q3,July,7,Thursday,CUST4954,Government,South,London,Electronics,Webcam HD,2,921.73,1843.46,0.1,184.35,1659.11,985.13,673.98,Retail,Rep_16,Completed,40.62,829.56,False,565
TXN000046,2022-02-05,2022,Q1,February,2,Saturday,CUST4986,Individual,South,Bristol,Electronics,USB-C Hub,5,815.24,4076.2,0.02,81.52,3994.68,2792.24,1202.44,Partner,Rep_18,Completed,30.1,798.94,False,35
TXN000047,2024-07-18,2024,Q3,July,7,Thursday,CUST2976,Smb,East,Cambridge,Stationery,Sticky Notes,19,20.76,394.44,0.05,19.72,374.72,227.47,147.25,Partner,Rep_07,Completed,39.3,19.72,False,929
TXN000048,2024-09-18,2024,Q3,September,9,Wednesday,CUST4180,Individual,East,Norwich,Stationery,Stapler,3,42.48,127.44,0.0,0.0,127.44,71.4,56.04,Direct Sales,Rep_09,Completed,43.97,42.48,False,991
TXN000049,2022-04-22,2022,Q2,April,4,Friday,CUST1200,Individual,West,Birmingham,Stationery,Pen Collection,3,53.08,159.24,0.01,1.59,157.65,65.49,92.16,Retail,Rep_16,Completed,58.46,52.55,False,111
TXN000050,2022-05-14,2022,Q2,May,5,Saturday,CUST3485,Smb,North,Manchester,Software,Cloud Storage,9,88.33,794.97,0.01,7.95,787.02,495.3,291.72,Partner,Rep_20,Completed,37.07,87.45,False,133
TXN000051,2023-04-08,2023,Q2,April,4,Saturday,CUST8025,Individual,West,Plymouth,Software,Cloud Storage,1,324.33,324.33,0.05,16.22,308.11,142.45,165.66,Online,Rep_07,Completed,53.77,308.11,False,462
TXN000052,2022-06-16,2022,Q2,June,6,Thursday,CUST3564,Enterprise,South,London,Furniture,Standing Desk,43,442.83,19041.69,0.07,1332.92,17708.77,7256.91,10451.86,Retail,Rep_10,Completed,59.02,411.83,True,166
TXN000053,2024-07-18,2024,Q3,July,7,Thursday,CUST7965,Enterprise,East,Cambridge,Electronics,Wireless Mouse,22,1041.93,22922.46,0.12,2750.7,20171.76,8500.84,11670.92,Direct Sales,Rep_06,Completed,57.86,916.9,True,929
TXN000054,2023-08-15,2023,Q3,August,8,Tuesday,CUST7594,Individual,West,Plymouth,Software,Productivity Suite,5,246.99,1234.95,0.0,0.0,1234.95,654.04,580.91,Retail,Rep_11,Completed,47.04,246.99,False,591
TXN000055,2022-02-22,2022,Q1,February,2,Tuesday,CUST1659,Smb,North,Liverpool,Electronics,Wireless Mouse,16,874.65,13994.4,0.05,699.72,13294.68,6041.72,7252.96,Retail,Rep_19,Completed,54.56,830.92,True,52
TXN000056,2024-10-04,2024,Q4,October,10,Friday,CUST6460,Individual,East,Colchester,Electronics,Bluetooth Headphones,3,1315.05,5128.69,0.02,102.57,5026.12,2757.53,2268.59,Online,Rep_13,Completed,45.14,1675.37,True,1007
TXN000057,2022-03-17,2022,Q1,March,3,Thursday,CUST6296,Enterprise,East,Ipswich,Software,Productivity Suite,5,439.21,2196.05,0.1,219.61,1976.44,1112.3,864.14,Retail,Rep_14,Completed,43.72,395.29,False,75
TXN000058,2024-11-27,2024,Q4,November,11,Wednesday,CUST1845,Smb,West,Exeter,Stationery,Stapler,11,59.43,849.85,0.02,17.0,832.85,507.6,325.25,Partner,Rep_04,Completed,39.05,75.71,False,1061
TXN000059,2023-05-06,2023,Q2,May,5,Saturday,CUST2527,Smb,North,Newcastle,Furniture,Bookshelf,5,449.94,2249.7,0.03,67.49,2182.21,973.68,1208.53,Online,Rep_10,Completed,55.38,436.44,False,490
TXN000060,2023-07-14,2023,Q3,July,7,Friday,CUST8483,Smb,West,Cardiff,Software,Cloud Storage,18,135.77,2443.86,0.04,97.75,2346.11,1034.52,1311.59,Retail,Rep_03,Completed,55.9,130.34,False,559
TXN000061,2024-04-29,2024,Q2,April,4,Monday,CUST5634,Individual,East,Norwich,Stationery,Stapler,4,87.87,351.48,0.03,10.54,340.94,171.68,169.26,Retail,Rep_18,Completed,49.65,85.24,False,849
TXN000062,2024-02-12,2024,Q1,February,2,Monday,CUST7274,Smb,South,Brighton,Software,Security Pack,17,69.64,1183.88,0.04,47.36,1136.52,731.26,405.26,Retail,Rep_13,Cancelled,35.66,66.85,False,772
TXN000063,2022-11-08,2022,Q4,November,11,Tuesday,CUST2644,Government,South,Southampton,Software,Productivity Suite,4,286.68,1490.74,0.0,0.0,1490.74,660.77,829.97,Online,Rep_05,Completed,55.68,372.68,False,311
TXN000064,2023-06-27,2023,Q2,June,6,Tuesday,CUST6383,Government,West,Birmingham,Stationery,Stapler,4,66.41,265.64,0.13,34.53,231.11,94.93,136.18,Partner,Rep_03,Completed,58.92,57.78,False,542
TXN000065,2023-08-12,2023,Q3,August,8,Saturday,CUST2646,Government,West,Birmingham,Furniture,Office Chair,1,601.1,601.1,0.01,6.01,595.09,380.17,214.92,Direct Sales,Rep_10,Completed,36.12,595.09,False,588
TXN000066,2024-06-01,2024,Q2,June,6,Saturday,CUST3785,Smb,West,Cardiff,Furniture,Standing Desk,14,546.17,7646.38,0.03,229.39,7416.99,3502.67,3914.32,Online,Unassigned,Completed,52.78,529.78,True,882
TXN000067,2024-08-02,2024,Q3,August,8,Friday,CUST8622,Individual,East,Norwich,Stationery,Paper Ream,3,16.65,49.95,0.05,2.5,47.45,23.24,24.21,Direct Sales,Rep_14,Completed,51.02,15.82,False,944
TXN000068,2024-07-24,2024,Q3,July,7,Wednesday,CUST2747,Smb,West,Exeter,Stationery,Pen Collection,20,61.47,1229.4,0.01,12.29,1217.11,742.17,474.94,Retail,Rep_01,Cancelled,39.02,60.86,False,935
TXN000069,2024-03-21,2024,Q1,March,3,Thursday,CUST5689,Smb,North,Newcastle,Stationery,Notebook Set,8,29.71,237.68,0.03,7.13,230.55,139.1,91.45,Partner,Rep_05,Completed,39.67,28.82,False,810
TXN000070,2022-03-22,2022,Q1,March,3,Tuesday,CUST3153,Enterprise,North,Liverpool,Stationery,Paper Ream,31,39.4,1221.4,0.03,36.64,1184.76,520.88,663.88,Partner,Rep_18,Pending,56.03,38.22,False,80
TXN000071,2024-01-20,2024,Q1,January,1,Saturday,CUST5835,Individual,East,Colchester,Stationery,Pen Collection,1,52.15,52.15,0.01,0.52,51.63,35.62,16.01,Online,Rep_13,Cancelled,31.01,51.63,False,749
TXN000072,2024-01-20,2024,Q1,January,1,Saturday,CUST9791,Enterprise,North,Liverpool,Electronics,Bluetooth Headphones,48,679.16,32599.68,0.04,1303.99,31295.69,16095.61,15200.08,Retail,Rep_12,Completed,48.57,651.99,True,749
TXN000073,2023-04-24,2023,Q2,April,4,Monday,CUST2035,Government,East,Cambridge,Software,Productivity Suite,1,342.16,342.16,0.02,6.84,335.32,229.32,106.0,Partner,Rep_10,Cancelled,31.61,335.32,False,478
TXN000074,2022-08-26,2022,Q3,August,8,Friday,CUST8432,Individual,South,Bristol,Electronics,Wireless Mouse,2,963.54,1927.08,0.04,77.08,1850.0,1103.48,746.52,Retail,Rep_16,Completed,40.35,925.0,False,237
TXN000075,2023-07-27,2023,Q3,July,7,Thursday,CUST8285,Smb,South,Bristol,Electronics,USB-C Hub,13,329.16,4279.08,0.03,128.37,4150.71,2877.91,1272.8,Partner,Rep_12,Completed,30.66,319.29,False,572
TXN000076,2023-07-20,2023,Q3,July,7,Thursday,CUST4475,Enterprise,West,Birmingham,Furniture,Office Chair,20,661.42,13228.4,0.15,1984.26,11244.14,7152.32,4091.82,Online,Rep_07,Completed,36.39,562.21,True,565
TXN000077,2023-03-01,2023,Q1,March,3,Wednesday,CUST1046,Individual,East,Cambridge,Furniture,Standing Desk,5,791.89,3959.45,0.01,39.59,3919.86,1773.15,2146.71,Direct Sales,Rep_01,Completed,54.76,783.97,False,424
TXN000078,2024-01-04,2024,Q1,January,1,Thursday,CUST3854,Individual,East,Norwich,Furniture,Desk Lamp,4,232.39,929.56,0.03,27.89,901.67,562.37,339.3,Online,Rep_16,Completed,37.63,225.42,False,733
TXN000079,2024-01-12,2024,Q1,January,1,Friday,CUST9543,Individual,South,London,Electronics,Bluetooth Headphones,1,1036.34,1036.34,0.0,0.0,1036.34,563.45,472.89,Retail,Rep_13,Completed,45.63,1036.34,False,741
TXN000080,2022-08-10,2022,Q3,August,8,Wednesday,CUST6277,Smb,North,Manchester,Software,Cloud Storage,20,106.79,2135.8,0.03,64.07,2071.73,1030.8,1040.93,Online,Unassigned,Completed,50.24,103.59,False,221
TXN000081,2024-07-18,2024,Q3,July,7,Thursday,CUST8046,Government,North,Leeds,Software,Productivity Suite,4,236.22,944.88,0.06,56.69,888.19,549.69,338.5,Direct Sales,Rep_11,Completed,38.11,222.05,False,929
TXN000082,2023-06-07,2023,Q2,June,6,Wednesday,CUST2494,Enterprise,West,Birmingham,Stationery,Pen Collection,28,48.87,1368.36,0.12,164.2,1204.16,682.65,521.51,Online,Rep_19,Cancelled,43.31,43.01,False,522
TXN000083,2023-11-07,2023,Q4,November,11,Tuesday,CUST1842,Individual,East,Colchester,Electronics,Bluetooth Headphones,5,657.14,4271.41,0.03,128.14,4143.27,1849.63,2293.64,Partner,Rep_16,Completed,55.36,828.65,False,675
TXN000084,2022-08-10,2022,Q3,August,8,Wednesday,CUST5564,Smb,East,Norwich,Stationery,Stapler,19,86.06,1635.14,0.0,0.0,1635.14,1109.81,525.33,Retail,Rep_09,Completed,32.13,86.06,False,221
TXN000085,2023-07-14,2023,Q3,July,7,Friday,CUST3972,Smb,East,Norwich,Stationery,Sticky Notes,2,16.26,32.52,0.0,0.0,32.52,18.18,14.34,Retail,Unassigned,Completed,44.1,16.26,False,559
TXN000086,2023-11-30,2023,Q4,November,11,Thursday,CUST2391,Enterprise,East,Ipswich,Furniture,Bookshelf,44,252.32,14432.7,0.01,144.33,14288.37,6065.05,8223.32,Direct Sales,Rep_15,Completed,57.55,324.74,True,698
TXN000087,2024-09-21,2024,Q3,September,9,Saturday,CUST9394,Enterprise,East,Cambridge,Software,Cloud Storage,23,243.46,5599.58,0.1,559.96,5039.62,2912.6,2127.02,Partner,Rep_17,Completed,42.21,219.11,True,994
TXN000088,2022-04-04,2022,Q2,April,4,Monday,CUST4349,Individual,North,Manchester,Furniture,Filing Cabinet,3,648.78,1946.34,0.01,19.46,1926.88,840.11,1086.77,Direct Sales,Rep_16,Completed,56.4,642.29,False,93
TXN000089,2022-12-26,2022,Q4,December,12,Monday,CUST2180,Government,South,Southampton,Furniture,Filing Cabinet,4,433.54,2254.41,0.14,315.62,1938.79,1276.95,661.84,Online,Rep_19,Completed,34.14,484.7,False,359
TXN000090,2024-04-08,2024,Q2,April,4,Monday,CUST1341,Individual,North,Newcastle,Software,Security Pack,5,410.59,2052.95,0.02,41.06,2011.89,1220.98,790.91,Direct Sales,Rep_12,Completed,39.31,402.38,False,828
TXN000091,2022-08-05,2022,Q3,August,8,Friday,CUST7484,Individual,West,Birmingham,Furniture,Filing Cabinet,2,294.02,588.04,0.0,0.0,588.04,346.92,241.12,Partner,Rep_17,Completed,41.0,294.02,False,216
TXN000092,2023-12-17,2023,Q4,December,12,Sunday,CUST3399,Individual,South,London,Stationery,Pen Collection,2,25.61,66.59,0.04,2.66,63.93,38.14,25.79,Direct Sales,Rep_06,Cancelled,40.34,31.96,False,715
TXN000093,2024-10-08,2024,Q4,October,10,Tuesday,CUST6179,Smb,West,Plymouth,Software,Project Manager,16,80.73,1679.18,0.03,50.38,1628.8,1040.64,588.16,Retail,Rep_19,Completed,36.11,101.8,False,1011
TXN000094,2024-11-05,2024,Q4,November,11,Tuesday,CUST1616,Enterprise,West,Exeter,Electronics,USB-C Hub,9,1281.21,14990.16,0.1,1499.02,13491.14,9352.2,4138.94,Partner,Rep_03,Completed,30.68,1499.02,True,1039
TXN000095,2024-11-04,2024,Q4,November,11,Monday,CUST4084,Individual,North,Newcastle,Software,Cloud Storage,1,275.62,358.31,0.02,7.17,351.14,225.88,125.26,Retail,Rep_11,Cancelled,35.67,351.14,False,1038
TXN000096,2022-06-22,2022,Q2,June,6,Wednesday,CUST8199,Smb,South,Bristol,Furniture,Office Chair,11,392.35,4315.85,0.02,86.32,4229.53,2674.5,1555.03,Partner,Rep_20,Completed,36.77,384.5,False,172
TXN000097,2023-11-17,2023,Q4,November,11,Friday,CUST5655,Individual,North,Newcastle,Electronics,USB-C Hub,5,633.37,4116.9,0.03,123.51,3993.39,2695.63,1297.76,Direct Sales,Rep_10,Cancelled,32.5,798.68,False,685
TXN000098,2024-03-13,2024,Q1,March,3,Wednesday,CUST7171,Individual,North,Liverpool,Furniture,Desk Lamp,5,585.58,2927.9,0.0,0.0,2927.9,1760.07,1167.83,Direct Sales,Rep_17,Completed,39.89,585.58,False,802
TXN000099,2024-01-13,2024,Q1,January,1,Saturday,CUST8967,Smb,South,Southampton,Stationery,Pen Collection,6,100.0,600.0,0.0,0.0,600.0,392.0,208.0,Direct Sales,Rep_04,Completed,34.67,100.0,False,742
TXN000100,2024-12-14,2024,Q4,December,12,Saturday,CUST3527,Smb,South,Bristol,Electronics,USB-C Hub,7,1280.75,11654.83,0.04,466.19,11188.64,4622.11,6566.53,Direct Sales,Rep_12,Completed,58.69,1598.38,True,1078
TXN000101,2023-05-02,2023,Q2,May,5,Tuesday,CUST4833,Smb,East,Colchester,Software,Project Manager,17,484.52,8236.84,0.05,411.84,7825.0,3585.45,4239.55,Partner,Rep_19,Cancelled,54.18,460.29,True,486
TXN000102,2024-08-03,2024,Q3,August,8,Saturday,CUST4271,Smb,West,Cardiff,Stationery,Paper Ream,17,14.7,249.9,0.04,10.0,239.9,135.87,104.03,Partner,Rep_04,Completed,43.36,14.11,False,945
TXN000103,2024-11-22,2024,Q4,November,11,Friday,CUST5469,Government,North,Leeds,Electronics,USB-C Hub,1,1280.36,1664.47,0.14,233.03,1431.44,667.93,763.51,Direct Sales,Rep_15,Pending,53.34,1431.44,False,1056
TXN000104,2022-02-24,2022,Q1,February,2,Thursday,CUST4862,Government,West,Plymouth,Software,Productivity Suite,1,218.71,218.71,0.05,10.94,207.77,89.28,118.49,Online,Rep_11,Completed,57.03,207.77,False,54
TXN000105,2022-10-09,2022,Q4,October,10,Sunday,CUST8685,Government,West,Cardiff,Electronics,USB-C Hub,1,1377.61,1790.89,0.04,71.64,1719.25,1118.35,600.9,Online,Rep_18,Pending,34.95,1719.25,False,281
TXN000106,2024-12-16,2024,Q4,December,12,Monday,CUST5934,Enterprise,East,Cambridge,Software,Productivity Suite,45,157.3,9202.05,0.12,1104.25,8097.8,4349.6,3748.2,Online,Rep_04,Completed,46.29,179.95,True,1080
TXN000107,2024-10-20,2024,Q4,October,10,Sunday,CUST5772,Government,South,Brighton,Electronics,Webcam HD,2,999.25,2598.05,0.09,233.82,2364.23,1078.55,1285.68,Online,Unassigned,Completed,54.38,1182.12,False,1023
TXN000108,2024-01-09,2024,Q1,January,1,Tuesday,CUST8702,Enterprise,North,Newcastle,Electronics,Webcam HD,21,1475.35,30982.35,0.11,3408.06,27574.29,13983.7,13590.59,Retail,Rep_03,Completed,49.29,1313.06,True,738
TXN000109,2022-08-01,2022,Q3,August,8,Monday,CUST9945,Individual,North,Liverpool,Stationery,Pen Collection,4,84.73,338.92,0.05,16.95,321.97,175.01,146.96,Direct Sales,Rep_06,Completed,45.64,80.49,False,212
TXN000110,2022-05-10,2022,Q2,May,5,Tuesday,CUST1717,Smb,East,Cambridge,Software,Productivity Suite,11,192.02,2112.22,0.03,63.37,2048.85,1427.51,621.34,Online,Rep_18,Completed,30.33,186.26,False,129
TXN000111,2022-03-16,2022,Q1,March,3,Wednesday,CUST6438,Individual,East,Norwich,Furniture,Bookshelf,4,669.57,2678.28,0.04,107.13,2571.15,1601.81,969.34,Online,Rep_13,Completed,37.7,642.79,False,74
TXN000112,2023-01-18,2023,Q1,January,1,Wednesday,CUST2353,Government,East,Ipswich,Software,Cloud Storage,2,243.77,487.54,0.08,39.0,448.54,222.64,225.9,Online,Rep_03,Completed,50.36,224.27,False,382
TXN000113,2023-08-29,2023,Q3,August,8,Tuesday,CUST8272,Individual,West,Cardiff,Stationery,Paper Ream,3,13.81,41.43,0.03,1.24,40.19,21.32,18.87,Retail,Rep_02,Completed,46.95,13.4,False,605
TXN000114,2024-04-11,2024,Q2,April,4,Thursday,CUST3339,Government,South,London,Stationery,Stapler,2,21.36,42.72,0.12,5.13,37.59,19.17,18.42,Online,Rep_13,Pending,49.0,18.8,False,831
TXN000115,2022-03-08,2022,Q1,March,3,Tuesday,CUST8273,Enterprise,East,Ipswich,Furniture,Filing Cabinet,30,494.15,14824.5,0.05,741.23,14083.27,6810.77,7272.5,Direct Sales,Rep_04,Completed,51.64,469.44,True,66
TXN000116,2023-01-17,2023,Q1,January,1,Tuesday,CUST5288,Individual,West,Birmingham,Software,Project Manager,5,146.56,732.8,0.01,7.33,725.47,489.65,235.82,Retail,Rep_16,Completed,32.51,145.09,False,381
